is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Jeff Bezos,Ongoing News Story,Russo-Ukrainian conflict,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,"[0.9606, 'Poland', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.8226, 'Thomas', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,TV Shows,NFL Football,TV Shows,Futebol NFL,TV Shows,Fútbol Americano de la NFL,Sports Event,NFL Playoffs 2022,Sports Event,Super Bowl LVI,Sports Event,Rams at Bengals,"[0.4874, 'LOTR', 'Other']"
False,TV Shows,NFL Football,TV Shows,Futebol NFL,TV Shows,Fútbol Americano de la NFL,Sports Event,NFL Playoffs 2022,Sports Event,Super Bowl LVI,Sports Event,Rams at Bengals,"[0.7368, 'Alexa', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Entities [Entity Service],Services,Brand,Flickr,"[0.6254, 'White House', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Unified Twitter Taxonomy,On this day,,,"[0.8728, 'Netscape', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Unified Twitter Taxonomy,Amazon,Unified Twitter Taxonomy,Jeff Bezos,"[0.9334, 'Edwardsville', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.9774, 'Edwardsville', 'Place']"
False,TV Shows,NFL Football,TV Shows,Futebol NFL,Person,Jeff Bezos,Sport,American football,Sports League,NFL,Unified Twitter Taxonomy,American football,"[0.7014, 'Thursday Night Football', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Food,Interests and Hobbies Vertical,Drinks,Interests and Hobbies Category,Generic Drinks,Interests and Hobbies,Tequila,Unified Twitter Taxonomy,Jeff Bezos,"[0.379, 'DJ', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,News,Unified Twitter Taxonomy,Journalists,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,"[0.8921, 'Washington Post', 'Other']"
False,Person,Jeff Bezos,Interests and Hobbies,Going Out,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,Person,Michael Strahan,"[0.6569, 'Michael', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Business personalities,,,,,"[0.5415, 'Bezos', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.6982, 'Leah', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.7646, 'Glen', 'Other']"
False,Person,Leonardo DiCaprio,Person,Jeff Bezos,Actor,Leonardo DiCaprio,Unified Twitter Taxonomy,Leonardo DiCaprio,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,"[0.6779, 'Leo', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,
False,Person,Jeff Bezos,Events [Entity Service],SpaceX launches Crew Dragon with two NASA astronauts onboard,Entities [Entity Service],Aerospace,Brand,SpaceX,Brand,NASA,Entities [Entity Service],Science,"[0.976, 'NASA', 'Organization']"
False,Person,Jeff Bezos,Events [Entity Service],The Earthshot Prize,Events [Entity Service],The UN Climate Change Conference 2021 has started 🌍,Award Show,The Earthshot Prize,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,"[0.9187, 'Prince William', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.9911, 'California', 'Place']"
False,Person,Jeff Bezos,Events [Entity Service],The UN Climate Change Conference 2021 has started 🌍,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Climate change,Events [Entity Service],The UN Climate Change Conference 2021 has started 🌍,"[0.9383, 'COP26', 'Other']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.6361, 'Tuntiak Katan', 'Person']"
False,Person,Jeff Bezos,Events [Entity Service],The UN Climate Change Conference 2021 has started 🌍,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Climate change,Events [Entity Service],The UN Climate Change Conference 2021 has started 🌍,"[0.5279, 'Wales', 'Place']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.4481, 'Bill', 'Other']"
False,Person,Jeff Bezos,Person,William Shatner,Actor,William Shatner,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Entertainment,Unified Twitter Taxonomy,William Shatner,
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Unified Twitter Taxonomy,Amazon,Unified Twitter Taxonomy,Jeff Bezos,"[0.9518, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,Person,William Shatner,Sports Team,Adana Demirspor,Actor,William Shatner,Entities [Entity Service],Travel,Multimedia Franchise,Star Trek,"[0.8446, 'Anderson', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,"[0.5131, 'Rivian', 'Other']"
False,Person,Jeff Bezos,Multimedia Franchise,James Bond,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Actors,Unified Twitter Taxonomy,James Bond,"[0.9671, 'Daniel Craig', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,
False,Person,Jeff Bezos,Person,Reed Hastings,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Reed Hastings,Unified Twitter Taxonomy,Tech personalities,Brand Vertical,Entertainment,"[0.5437, 'Ted Sarandos', 'Person']"
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,,,,,,,
False,Person,Jeff Bezos,Video Game,New World ,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Gaming,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,New World ,
False,Person,Jeff Bezos,Unified Twitter Taxonomy,Jeff Bezos,Unified Twitter Taxonomy,Tech personalities,Unified Twitter Taxonomy,Climate change,Person,Boris Johnson,Politician,Boris Johnson,"[0.8824, 'Asimov', 'Person']"
False,Person,Jeff Bezos,Events [Entity Service],SpaceX launches Crew Dragon with two NASA astronauts onboard,Entities [Entity Service],Aerospace,Brand,SpaceX,Entities [Entity Service],Science,Interests and Hobbies Category,Space,"[0.5989, 'Inspiration4', 'Other']"
False,Person,Emmanuel Macron,Person,Jeff Bezos,Politician,Emmanuel Macron,Unified Twitter Taxonomy,Emmanuel Macron,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Global Environmental Issues,"[0.9897, 'Paris', 'Place']"
False,TV Shows,NFL Football,Sports Event,Super Bowl LIV,Person,Lizzo,Sport,American football,Sports League,NFL,American Football Game,Super Bowl LIV,"[0.8785, 'DNA', 'Other']"
False,TV Shows,The Ellen DeGeneres Show,TV Shows,NFL Football,TV Shows,Scandal,TV Shows,The Ellen DeGeneres Show,TV Shows,Futebol NFL,TV Shows,Fútbol Americano de la NFL,"[0.763, 'Alexa', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9894, 'India', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9299, 'India', 'Place']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Unified Twitter Taxonomy,Amazon,Unified Twitter Taxonomy,Family & relationships,"[0.9787, 'Amazon', 'Organization']"
False,Person,Shah Rukh Khan,Person,Jeff Bezos,Actor,Shah Rukh Khan,Entertainment Personality,Shah Rukh Khan,Unified Twitter Taxonomy,Shah Rukh Khan,Unified Twitter Taxonomy,Entertainment,"[0.906, 'Zoya Akhtar', 'Person']"
False,Person,Jeff Bezos,Interests and Hobbies Vertical,Business & finance,Interests and Hobbies Category,Small business,Unified Twitter Taxonomy,Business & finance,Unified Twitter Taxonomy,Family & relationships,Unified Twitter Taxonomy,Small business,"[0.9716, 'India', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9824, 'India', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.4002, 'Washington D.C.', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon - AI,Unified Twitter Taxonomy,Amazon,"[0.9787, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.524, 'Bezos Day', 'Other']"
False,Events [Entity Service],Veterans Day 2019,Holiday,Veterans Day 2019,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,"[0.4423, 'David', 'Person']"
False,Person,Jeff Bezos,Brand Vertical,Government/Education,Entities [Entity Service],Defense - Government/Education,Entities [Entity Service],Aerospace,Brand,Northrop Grumman,Brand,Lockheed Martin,"[0.7354, 'gradatimferociter', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.5133, 'AmazonFutureEngineer', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.6988, 'Amazon Air', 'Organization']"
False,TV Shows,Fleabag,TV Shows,The Marvelous Mrs. Maisel,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,"[0.9363, 'Emmy', 'Other']"
False,TV Shows,Fleabag,TV Shows,The Marvelous Mrs. Maisel,Person,Rachel Brosnahan,Events [Entity Service],Primetime Emmy Awards 2019,Actor,Rachel Brosnahan,Award Show,Primetime Emmy Awards 2019,"[0.5558, 'Phoebe Waller-Bridge', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9328, 'The Climate Pledge', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Events [Entity Service],Humberto strengthens into a Category 3 hurricane,,,"[0.7647, 'Amazon Air', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8098, 'Amazonians', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9681, 'Nashville', 'Place']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9881, 'Nashville', 'Place']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.7506, 'Amazon Air', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8941, 'JackRyan', 'Person']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9641, 'India', 'Place']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Interests and Hobbies Vertical,Careers,,,,,"[0.4157, 'STEM', 'Other']"
False,Person,Jeff Bezos,Music Genre,Country music,Unified Twitter Taxonomy,Country music,Unified Twitter Taxonomy,Music,,,,,"[0.8372, 'Mike George', 'Person']"
False,Events [Entity Service],Pride Month 2019,Person,Jeff Bezos,,,,,,,,,
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9713, 'Caroline Kennedy', 'Person']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,NASA,Brand,Blue Origin,,,,,"[0.6346, 'BE7', 'Other']"
False,Events [Entity Service],Father's Day 2019,Holiday,Father's Day 2019,Person,Jeff Bezos,,,,,,,"[0.6674, 'Father’s Day', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.8328, 'Grit', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.6901, 'reMARS', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.6762, 'Leo', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.7061, 'Leo', 'Other']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.7871, 'MacKenzie', 'Person']"
False,Events [Entity Service],Memorial Day 2019,Holiday,Memorial Day 2019,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,,,,,"[0.9405, 'Amazon', 'Organization']"
False,Person,Jeff Bezos,,,,,,,,,,,"[0.9465, 'U.S.', 'Place']"
False,Person,Jeff Bezos,Place,Cuba,,,,,,,,,"[0.5263, 'Liberty Star', 'Other']"
False,Person,Jeff Bezos,Brand Vertical,Retail industry,Entities [Entity Service],Online - Retail,Brand,Amazon,Product,Amazon Prime,Interests and Hobbies Vertical,Business & finance,"[0.7293, 'amazon', 'Organization']"
False,Events [Entity Service],Mother's Day UK 2019,Events [Entity Service],Mother's Day 2019,Holiday,Mother's Day UK 2019,Holiday,Mother's Day 2019,Person,Jeff Bezos,,,
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,Events [Entity Service],Blue Origin,,,,,"[0.7476, 'Blue Origin', 'Other']"
False,Person,Jeff Bezos,Entities [Entity Service],Aerospace,Brand,Blue Origin,,,,,,,
